Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Ajaccio;41.92;8.73;16/07/2026;0;SOLEIL;35.2;23.5
Ajaccio;41.92;8.73;17/07/2026;0;SOLEIL;33.9;23.6
Ajaccio;41.92;8.73;18/07/2026;0;SOLEIL;32.5;21.4
Ajaccio;41.92;8.73;19/07/2026;0;SOLEIL;32.4;22
Ajaccio;41.92;8.73;20/07/2026;0;SOLEIL;32.1;21.7
Ajaccio;41.92;8.73;21/07/2026;0;SOLEIL;31.7;22.6
Ajaccio;41.92;8.73;22/07/2026;6;AVERSES;30.7;21.7
Ajaccio;41.92;8.73;23/07/2026;0;SOLEIL;30.1;21.4
Ajaccio;41.92;8.73;24/07/2026;0;SOLEIL;30.6;20.9
Ajaccio;41.92;8.73;25/07/2026;0;SOLEIL;30.9;21.7
Ajaccio;41.92;8.73;26/07/2026;0;SOLEIL;31.1;22.1
Ajaccio;41.92;8.73;27/07/2026;0;SOLEIL;31.5;21.6
Ajaccio;41.92;8.73;28/07/2026;0;SOLEIL;30.9;22.2
Ajaccio;41.92;8.73;29/07/2026;0;SOLEIL;31.4;21.5
Ajaccio;41.92;8.73;30/07/2026;0;SOLEIL;22.0;12
Ajaccio;41.92;8.73;31/07/2026;0;SOLEIL;22.0;12
Figari;41.48;9.09;16/07/2026;0;SOLEIL;37.1;18.7
Figari;41.48;9.09;17/07/2026;0;SOLEIL;38.2;22.1
Figari;41.48;9.09;18/07/2026;0;SOLEIL;36;22
Figari;41.48;9.09;19/07/2026;0;SOLEIL;34.4;23.1
Figari;41.48;9.09;20/07/2026;0;SOLEIL;35.5;22.9
Figari;41.48;9.09;21/07/2026;0;SOLEIL;33.9;22.7
Figari;41.48;9.09;22/07/2026;0;SOLEIL;32.5;20.6
Figari;41.48;9.09;23/07/2026;0;SOLEIL;31.4;19.7
Figari;41.48;9.09;24/07/2026;0;SOLEIL;32.1;19.9
Figari;41.48;9.09;25/07/2026;0;SOLEIL;32.5;20.5
Figari;41.48;9.09;26/07/2026;0;SOLEIL;32.2;21.2
Figari;41.48;9.09;27/07/2026;0;SOLEIL;32.9;21.6
Figari;41.48;9.09;28/07/2026;0;SOLEIL;32.5;21.2
Figari;41.48;9.09;29/07/2026;0;SOLEIL;33.1;21.4
Figari;41.48;9.09;30/07/2026;0;SOLEIL;22.0;12
Figari;41.48;9.09;31/07/2026;0;SOLEIL;22.0;12
Porto-Vecchio;41.59;9.27;16/07/2026;0;SOLEIL;33.6;23.1
Porto-Vecchio;41.59;9.27;17/07/2026;0;SOLEIL;41.5;22.4
Porto-Vecchio;41.59;9.27;18/07/2026;0;SOLEIL;40.7;23.9
Porto-Vecchio;41.59;9.27;19/07/2026;0;SOLEIL;36.2;23.6
Porto-Vecchio;41.59;9.27;20/07/2026;0;SOLEIL;37.6;22.5
Porto-Vecchio;41.59;9.27;21/07/2026;0;SOLEIL;35.9;23
Porto-Vecchio;41.59;9.27;22/07/2026;0;SOLEIL;32.1;22.1
Porto-Vecchio;41.59;9.27;23/07/2026;0;SOLEIL;32.6;21.1
Porto-Vecchio;41.59;9.27;24/07/2026;0;SOLEIL;32.2;21.1
Porto-Vecchio;41.59;9.27;25/07/2026;0;SOLEIL;34.1;21.6
Porto-Vecchio;41.59;9.27;26/07/2026;0;SOLEIL;33.6;22.1
Porto-Vecchio;41.59;9.27;27/07/2026;0;SOLEIL;33.9;22.2
Porto-Vecchio;41.59;9.27;28/07/2026;0;SOLEIL;33.9;22.1
Porto-Vecchio;41.59;9.27;29/07/2026;0;SOLEIL;34.1;22.1
Porto-Vecchio;41.59;9.27;30/07/2026;0;SOLEIL;22.0;12
Porto-Vecchio;41.59;9.27;31/07/2026;0;SOLEIL;22.0;12
Sartène;41.62;8.97;16/07/2026;0;SOLEIL;38.4;23.2
Sartène;41.62;8.97;17/07/2026;0;SOLEIL;37.5;26.6
Sartène;41.62;8.97;18/07/2026;0;SOLEIL;35.2;23.2
Sartène;41.62;8.97;19/07/2026;0;SOLEIL;33.9;23.4
Sartène;41.62;8.97;20/07/2026;0;SOLEIL;34.5;22.5
Sartène;41.62;8.97;21/07/2026;0;SOLEIL;33.6;23.2
Sartène;41.62;8.97;22/07/2026;0;SOLEIL;31.5;22.2
Sartène;41.62;8.97;23/07/2026;0;SOLEIL;30.6;21.5
Sartène;41.62;8.97;24/07/2026;0;SOLEIL;31.1;21.6
Sartène;41.62;8.97;25/07/2026;0;SOLEIL;31.9;21.6
Sartène;41.62;8.97;26/07/2026;0;SOLEIL;31.5;22
Sartène;41.62;8.97;27/07/2026;0;SOLEIL;32.5;22.2
Sartène;41.62;8.97;28/07/2026;0;SOLEIL;31.9;22.1
Sartène;41.62;8.97;29/07/2026;0;SOLEIL;32;22.1
Sartène;41.62;8.97;30/07/2026;0;SOLEIL;22.0;12
Sartène;41.62;8.97;31/07/2026;0;SOLEIL;22.0;12
Zévaco;41.89;9.05;16/07/2026;0;SOLEIL;37.6;24.4
Zévaco;41.89;9.05;17/07/2026;0;SOLEIL;36.5;24.1
Zévaco;41.89;9.05;18/07/2026;0;SOLEIL;33.6;22.2
